EMPRESA_ID,CLIENTE_ID,UBICACION_ID,NOMBRE_UBICACION,DIRECCION,LATITUD,LONGITUD,PAIS_ID,NOMBRE_PAIS,DEPARTAMENTO_ID,NOMBRE_DEPARTAMENTO,CIUDAD_ID,NOMBRE_CIUDAD,ZONA_ID,NOMBRE_ZONA,BARRIO,REGION_ID,NOMBRE_REGION,ES_PUNTO_VISITA,ES_PUNTO_ENVIO,REVALID_DIAS_VISITAS,REVALID_FREC_VISITAS,REVALID_SEM_VISITAS,ESTADO_ACTIVO,Cluster,Route_Order
295,1106306586suc0,0,RAPITIENDA LAS PALMAS,CARRERA 25 65 11                                  GUAYACANES,5.055382,-75.489681,1,COLOMBIA,17,CALDAS,1,MANIZALES-CALDAS,,,,,,S,S,,,,True,0,0
295,1107510504suc0,0,PANADERIA MI TIERRA,CARRERA 6 6 02                                    SAN LORENZO,5.463968,-75.693741,1,COLOMBIA,17,CALDAS,778,RIOSUCIO-CALDAS,,,,,,S,S,,,,True,0,2042
295,32561911suc0,0,CAFETERIA LAS 3M,CALLE 12 13 27                                    CHIPRE,5.073663,-75.525046,1,COLOMBIA,17,CALDAS,1,MANIZALES-CALDAS,,,,,,S,S,,,,True,0,603
295,33745231suc0,0,AVICOLA MONTOYA,CARRERA 7B  50A 04                                SOLFERINO,5.075749,-75.489037,1,COLOMBIA,17,CALDAS,1,MANIZALES-CALDAS,,,,,,S,S,,,,True,0,1072
295,33745635suc0,0,VARIEDADES COMUNEROS,CALLE 51F 8A 04                                   COMUNEROS,5.0737,-75.489582,1,COLOMBIA,17,CALDAS,1,MANIZALES-CALDAS,,,,,,S,S,,,,True,0,501
295,3375659suc0,0,MISCELANEA LA COLMENA,CALLE 8 10 32,5.419051,-75.700582,1,COLOMBIA,17,CALDAS,778,RIOSUCIO-CALDAS,,,,,,S,S,,,,True,0,2016
295,33917496suc0,0,TIENDA EL VIEJO FAROL,CARRERA 16 9A 76,5.344402,-75.732235,1,COLOMBIA,66,RISARALDA,753,QUINCHIA-RISARALDA,,,,,,S,S,,,,True,0,1996
295,33935050suc0,0,TIENDA EL AMIGO,CALLE 7 3 05                                      ARAUCA,5.11098,-75.70181,1,COLOMBIA,17,CALDAS,9,PALESTINA-CALDAS,,,,,,S,S,,,,True,0,1331
295,33965634suc0,0,CASA,CARRERA 9 NORTE 9 60 BL 14A 501                   BELLAMONTAÑA,5.07051,-75.515124,1,COLOMBIA,17,CALDAS,1,MANIZALES-CALDAS,,,,,,S,S,,,,True,0,571
295,33991925suc0,0,TIENDA MIXTA LEIDY,IRRA                                              IRRA,5.269632,-75.666157,1,COLOMBIA,66,RISARALDA,753,QUINCHIA-RISARALDA,,,,,,S,S,,,,True,0,1272
295,33992148suc0,0,RESTAURANTE,CARRERA 7 26 16,5.163228,-75.659266,1,COLOMBIA,17,CALDAS,972,SUPIA-CALDAS,,,,,,S,S,,,,True,0,1970
295,33992388suc0,0,TIENDA LA NUEVA,CALLE 4 10 36,5.298714,-75.564937,1,COLOMBIA,17,CALDAS,340,FILADELFIA-CALDAS,,,,,,S,S,,,,True,0,1259
295,33993899suc0,0,MINO TIENDA OCCIDENTAL,CALLE 32 9 17,5.455518,-75.650916,1,COLOMBIA,17,CALDAS,972,SUPIA-CALDAS,,,,,,S,S,,,,True,0,2053
295,33994119suc0,0,REVUELTERIA LOLO,CALLE 3A CRA 7 ESQUINA LOCAL,5.296806,-75.564306,1,COLOMBIA,17,CALDAS,340,FILADELFIA-CALDAS,,,,,,S,S,,,,True,0,1250
295,34000085suc0,0,RAPITIENDA LOS ALPES,CARRERA 17 71 06                                  ALTA SUIZA,5.053935,-75.478518,1,COLOMBIA,17,CALDAS,1,MANIZALES-CALDAS,,,,,,S,S,,,,True,0,1639
295,34000304suc0,0,REVUELTERIA SAN DIEGO,CARRERA 6 21 27,5.034408,-75.508993,1,COLOMBIA,17,CALDAS,1087,VILLAMARIA-CALDAS,,,,,,S,S,,,,True,0,1819
295,1109296224suc0,0,MINIMARKET GOL,CARRERA 4 10 42                                   CENTRO,5.044699,-75.510962,1,COLOMBIA,17,CALDAS,1087,VILLAMARIA-CALDAS,,,,,,S,S,,,,True,0,821
295,1109296589suc0,0,TIENDA LA ISLA,CARRERA 29 23 09                                  LA ISLA,5.062962,-75.516679,1,COLOMBIA,17,CALDAS,1,MANIZALES-CALDAS,,,,,,S,S,,,,True,0,1484
